"speccode","english_name","scientific_name","taxonomic_rank"
438,"Nuthatch","Sitta europaea","Species"
440,"Treecreeper","Certhia familiaris","Species"
441,"Short-toed Treecreeper","Certhia brachydactyla","Species"
442,"Penduline Tit","Remiz pendulinus","Species"
443,"Golden Oriole","Oriolus oriolus","Species"
444,"Daurian/Turkestan (Isabelline) Shrike","Lanius isabellinus/phoenicuroides","Species aggregate"
445,"Red-backed Shrike","Lanius collurio","Species"
447,"Great Grey Shrike","Lanius excubitor","Species"
449,"Jay","Garrulus glandarius","Species"
450,"Magpie","Pica pica","Species"
452,"Chough","Pyrrhocorax pyrrhocorax","Species"
453,"Jackdaw","Coloeus monedula","Species"
454,"Rook","Corvus frugilegus","Species"
455,"Carrion Crow","Corvus corone","Species"
456,"Raven","Corvus corax","Species"
457,"Starling","Sturnus vulgaris","Species"
458,"Rosy Starling","Pastor roseus","Species"
459,"House Sparrow","Passer domesticus","Species"
461,"Tree Sparrow","Passer montanus","Species"
466,"Chaffinch","Fringilla coelebs","Species"
467,"Brambling","Fringilla montifringilla","Species"
468,"Serin","Serinus serinus","Species"
470,"Greenfinch","Chloris chloris","Species"
471,"Goldfinch","Carduelis carduelis","Species"
472,"Siskin","Spinus spinus","Species"
473,"Linnet","Linaria cannabina","Species"
474,"Twite","Linaria flavirostris","Species"
475,"Common/Lesser Redpoll","Acanthis flammea/cabaret","Species aggregate"
476,"Arctic Redpoll","Acanthis hornemanni","Species"
477,"Two-barred Crossbill","Loxia leucoptera","Species"
478,"Common Crossbill","Loxia curvirostra","Species"
479,"Scottish Crossbill","Loxia scotica","Species"
480,"Parrot Crossbill","Loxia pytyopsittacus","Species"
481,"Trumpeter Finch","Bucanetes githagineus","Species"
482,"Common Rosefinch","Carpodacus erythrinus","Species"
484,"Bullfinch","Pyrrhula pyrrhula","Species"
485,"Hawfinch","Coccothraustes coccothraustes","Species"
496,"American Redstart","Setophaga ruticilla","Species"
508,"White-crowned Sparrow","Zonotrichia leucophrys","Species"
509,"White-throated Sparrow","Zonotrichia albicollis","Species"
510,"Dark-eyed Junco","Junco hyemalis","Species"
511,"Lapland Bunting","Calcarius lapponicus","Species"
512,"Snow Bunting","Plectrophenax nivalis","Species"
513,"Pine Bunting","Emberiza leucocephalos","Species"
514,"Yellowhammer","Emberiza citrinella","Species"
515,"Cirl Bunting","Emberiza cirlus","Species"
517,"Ortolan Bunting","Emberiza hortulana","Species"
520,"Rustic Bunting","Emberiza rustica","Species"
521,"Little Bunting","Emberiza pusilla","Species"
524,"Reed Bunting","Emberiza schoeniclus","Species"
528,"Corn Bunting","Emberiza calandra","Species"
900,"Rock Pipit","Anthus petrosus","Species"
901,"Water Pipit","Anthus spinoletta","Species"
910,"Hooded Crow","Corvus cornix","Species"
1008,"Balearic Shearwater","Puffinus mauretanicus","Species"
1015,"Fulvous Whistling Duck","Dendrocygna bicolor","Species"
1017,"Swan Goose","Anser cygnoides","Species"
1018,"Bar-headed Goose","Anser indicus","Species"
1019,"Ross's Goose","Anser rossii","Species"
1020,"Emperor Goose","Anser canagicus","Species"
1022,"Muscovy Duck","Cairina moschata","Species"
1023,"Falcated Duck","Mareca falcata","Species"
1024,"White-cheeked Pintail","Anas bahamensis","Species"
1025,"Marbled Duck","Marmaronetta angustirostris","Species"
1027,"Lesser Scaup","Aythya affinis","Species"
1030,"Chukar Partridge","Alectoris chukar","Species"
1032,"American Golden Plover","Pluvialis dominica","Species"
1049,"Mourning Dove","Zenaida macroura","Species"
1052,"Buff-bellied Pipit","Anthus rubescens","Species"
1066,"Hume's Warbler","Phylloscopus humei","Species"
1067,"Iberian Chiffchaff","Phylloscopus ibericus","Species"
1070,"Brown Shrike","Lanius cristatus","Species"
1078,"Common Redpoll","Acanthis flammea","Species"
1079,"Lesser Redpoll","Acanthis cabaret","Species"
1138,"Blacksmith Lapwing","Vanellus armatus","Species"
1149,"Nene","Branta sandvicensis","Species"
1151,"Magpie Goose","Anseranas semipalmata","Species"
1154,"South African Shelduck","Tadorna cana","Species"
1155,"Australian Shelduck","Tadorna tadornoides","Species"
1156,"Paradise Shelduck","Tadorna variegata","Species"
1157,"Chiloe Wigeon","Mareca sibilatrix","Species"
1159,"Yellow-billed Teal","Anas flavirostris","Species"
1160,"Red-billed Teal","Anas erythrorhyncha","Species"
1161,"Ringed Teal","Callonetta leucophrys","Species"
1162,"Maned Duck","Chenonetta jubata","Species"
1185,"Black Swan","Cygnus atratus","Species"
1190,"Village Weaver","Ploceus cucullatus","Species"
1191,"Black-headed Weaver","Ploceus melanocephalus","Species"
1194,"Chestnut Teal","Anas castanea","Species"
1196,"Trumpeter Swan","Cygnus buccinator","Species"
1197,"White-faced Whistling Duck","Dendrocygna viduata","Species"
1199,"Green-winged Teal","Anas carolinensis","Species"
1215,"Monk Parakeet","Myiopsitta monachus","Species"
1217,"Zebra Finch","Taeniopygia guttata","Species"
1248,"Indian Peafowl","Pavo cristatus","Species"
1274,"Steppe Grey Shrike","Lanius pallidirostris","Species"
1281,"Siberian Stonechat","Saxicola maurus","Species"
1282,"Yellow-legged Gull","Larus michahellis","Species"
1283,"Caspian Gull","Larus cachinnans","Species"
1284,"American Herring Gull","Larus smithsonianus","Species"
1286,"Alexandrine Parakeet","Psittacula eupatria","Species"
1287,"Lanner Falcon","Falco biarmicus","Species"
1288,"Helmeted Guineafowl","Numida meleagris","Species"
1289,"Harris's Hawk","Parabuteo unicinctus","Species"
1291,"Silver Pheasant","Lophura nycthemera","Species"
1292,"Cockatiel","Nymphicus hollandicus","Species"
1293,"Reeves's Pheasant","Syrmaticus reevesii","Species"
1294,"Budgerigar","Melopsittacus undulatus","Species"
1332,"Eastern Rosella","Platycercus eximius","Species"
1343,"Rosy-billed Pochard","Netta peposaca","Species"
1344,"New Zealand Scaup","Aythya novaeseelandiae","Species"
1345,"Lake Duck","Oxyura vittata","Species"
1352,"African Sacred Ibis","Threskiornis aethiopicus","Species"
1354,"Red-tailed Hawk","Buteo jamaicensis","Species"
1358,"Sulphur-crested Cockatoo","Cacatua galerita","Species"
1359,"Rosy-faced Lovebird","Agapornis roseicollis","Species"
1377,"Scarlet Macaw","Ara macao","Species"
1431,"Cackling Goose","Branta hutchinsii","Species"
1437,"Australasian Shoveler","Spatula rhynchotis","Species"
1469,"Pacific Diver","Gavia pacifica","Species"
1530,"Glaucous-winged Gull","Larus glaucescens","Species"
1535,"Common/Scottish Crossbill","Loxia curvirostra/scotica","Species aggregate"
1537,"Wilson's Snipe","Gallinago delicata","Species"
1538,"Blue-and-yellow Macaw","Ara ararauna","Species"
1559,"Bernier's Teal","Anas bernieri","Species"
1563,"Pin-tailed Whydah","Vidua macroura","Species"
1569,"Atlantic Canary","Serinus canaria","Species"
1570,"Great Blue Heron","Ardea herodias","Species"
1575,"Cape Barren Goose","Cereopsis novaehollandiae","Species"
1578,"Barbary Dove","Streptopelia roseogrisea f. risoria","Variety"
1579,"Java Sparrow","Lonchura oryzivora","Species"
1582,"Grey Parrot","Psittacus erithacus","Species"
1583,"Rock/Water Pipit ","Anthus petrosus/spinoletta","Species aggregate"
1584,"White-cheeked Turaco","Tauraco leucotis","Species"
1586,"Violet Turaco","Musophaga violacea","Species"
1603,"House Crow","Corvus splendens","Species"
1663,"Blue-crowned Parakeet","Thectocercus acuticaudatus","Species"
